FICHE;DATE;ZONE;NUMECH;MP4;P9_PREF;MP5;MP6;MP7;MP8;MP9;MP10;MP11;MP12;MP13;MP14;MP15;MP16;MP17;MP18;M1;M2;M3;M4;M5;M6;M7_1;M8_1;M9_1;M10_1;M11_1;M12_1;M13_1;M7_2;M8_2;M9_2;M10_2;M11_2;M12_2;M13_2;M7_3;M8_3;M9_3;M10_3;M11_3;M12_3;M13_3;M7_4;M8_4;M9_4;M10_4;M11_4;M12_4;M13_4;COEM
1 ;100409;001003;177;4;1;05;02;00;00;00;03;1;01;00;01;02;1;1;037;4;1;1;3;1;1;1;1;1994;05;1;3;2; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;040.147
1 ;310309;001003;184;1;1;12;00;03;00;00;09;2;01;01;02;00;1;1;032;4;4;1;4;1;2;1;2;1999;09;1;2;2;1;2;2005;04;1;2;2; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;034.599
1 ;160409;001003;191;3;6;06;00;02;00;00;04;1;01;01;02;00;1;6;029;4;4;1;4;1;1;1;1;2003;04;1;2;2; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;034.599
1 ;280309;001003;193;5;2;08;04;04;00;00;00;1;03;00;03;05;1;2;026;4;4;1;4;2;1;3;3;2004;06;2;2;2; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;024.609
1 ;090409;001003;196;3;7;04;00;00;00;00;04;0;00;01;01;00;2;7;080;4;1;1;3;2;0; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;040.147
1 ;050209;001004;107;3;4;02;02;00;00;00;00;0;01;00;01;02;1;4;020;4;4;1;3;1;0; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;040.147
1 ;140309;001004;111;5;1;05;00;00;00;00;05;0;00;01;01;00;2;1;060;4;4;1;3;1;0; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;040.147
1 ;171008;002001;008;4;7;05;00;02;01;00;02;1;01;00;01;00;1;7;068;4;1;1;3;1;1;1;3;2006;06;1;1;4; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;049.270
1 ;280309;002001;023;5;1;14;01;03;02;02;06;1;02;01;03;01;1;5;016;4;1;1;4;1;1;1;3;2001;07;1;2;2; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;046.930
1 ;170409;002001;024;4;2;08;00;00;00;00;08;1;01;01;02;00;2;6;030;3;4;1;4;1;1;1;3;2001;09;1;2;2; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;036.300
1 ;211008;002001;027;1;7;04;00;00;00;00;04;0;00;01;01;00;2;7;064;4;1;1;1;1;0; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;049.270
1 ;160409;002001;028;3;7;08;00;04;00;00;04;1;01;01;02;00;2;7;064;4;1;1;3;1;1;1;3;2009;  ;1;1;3; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;036.300
1 ;021208;002001;049;1;1;08;00;04;00;00;04;1;01;01;02;00;2;1;028;4;4;1;3;1;1;1;1;2000;05;1;2;3; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;036.300
1 ;040409;002001;060;5;1;16;00;00;00;08;08;1;03;01;04;00;2;2;040;4;4;1;3;1;1;1;3;2006;10;1;1;3; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;037.507
1 ;280309;002001;061;5;2;20;00;12;00;00;08;0;02;02;04;00;1;2;036;4;1;1;4;1;0; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;037.507
1 ;070109;002001;077;2;7;04;00;00;00;00;04;0;00;01;01;00;2;7;080;4;1;1;3;2;0; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;049.270
1 ;060209;002001;113;4;7;13;02;00;00;00;11;1;01;01;02;02;2;1;036;4;4;1;4;1;1;1;3;1999;06;1;2;3; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;036.300
1 ;200209;002001;115;4;1;02;02;00;00;00;00;0;01;00;01;02;1;1;027;4;4;1;3;1;0; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;049.270
1 ;260309;002001;123;3;7;00;00;00;00;00;00;0;00;01;01;00;2;7;087;4;1;1;3;2;0; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;049.270
