FICHE;ZONE;NUMECH;P01;P02;P03;P04;P05;P06;P07;P08;P09;P10;P11;P12;P13;P14;P15A;P15B;P16;P17A;P17B;P18A;P18B;P19;P20;P21;P22;P23;P24A;P24B;P25;COEP
2 ;001003;104;01;1;1;039;1;1;1;2;2;0;61;3; ;2;005006;06;3; ;2;2; ;4;2;3;4;2;4;5;1;025.457
2 ;001003;104;02;2;2;037;1;1;1;3;2;0;51;3; ;2;007006;17;3; ;1;2; ;5;5;3;4;2;5;5;1;025.457
2 ;001003;104;03;1;3;016;1;1;3;0;3;1;89;3; ;2;062001;  ; ; ; ;2; ;5;2;5;5;2;4;2;1;025.457
2 ;001003;104;04;1;3;006;2;2;2;0;5;0;83;3; ;2;001001;  ; ; ; ;2; ;4;5;5;5;2;4;5;1;025.457
2 ;001003;112;01;1;1;065;2;2;1;2;7;0;61;1;1; ;      ;  ; ; ; ;2; ;1;5;5;5;1;5;4;1;040.147
2 ;001003;114;01;1;1;035;1;1;1;3;2;0;54;3; ;2;002003;09;3; ;1;2; ;5;5;3;5;3;5;5;1;040.147
2 ;001003;122;01;1;1;072;2;2;1;3;7;0;66;3; ; ;      ;  ; ; ; ;2; ;5;5;5;5;1;5;4;1;034.599
2 ;001003;122;02;2;2;070;2;2;2;3;7;0;56;3; ; ;      ;  ; ; ; ;2; ;5;5;5;5;1;5;4;1;034.599
2 ;001003;125;01;2;1;026;1;1;2;0;4;0;88;3; ;2;039004;  ;3; ;3;2; ;5;5;5;1;1;1;5;1;040.147
2 ;001003;129;01;2;1;043;1;1;2;2;1;0;55;3; ;2;006005;09;3; ;1;2; ;5;5;5;3;2;4;4;1;034.599
2 ;001003;129;02;2;3;014;1;1;2;0;5;0;84;3; ;2;005003;  ; ; ; ;2; ;5;5;5;5;2;4;4;1;034.599
2 ;001003;136;01;2;1;054;1;2;1;1;1;0;56;3; ;2;004002;17;1;3; ;2; ;5;5;1;2;2;4;4;1;040.147
2 ;001003;140;01;1;1;072;2;2;1;2;7;0;61;3; ; ;      ;  ; ; ; ;2; ;5;5;3;5;4;5;5;1;034.599
2 ;001003;140;02;2;2;071;1;2;2;2;7;0;61;3; ; ;      ;  ; ; ; ;2; ;5;5;5;3;4;5;5;1;034.599
