id,categories,types
471,849&&50%_%_::393$850&&32%_%_::861$851&&10%_%_::649$852&&60%_%_::349$853&&103%_%_::125$854&&69%_%_::359$855&&80%_%_::256$,home::247802.86456435497$other_activity::1957.406866046119$Annexe::36243.535000065654$office::83677.34499954848$sport::5020.206759293793$parking::26256.589772296233$shop::2332.2150000033284$school::1800.6449999989602$social_facility::805.4000000000989$kindergarten::241.62000000228406$leisure and sport::2653.471453713566$fire_station::367.0749999963038$restaurant::1286.7450000107883$shed::25.936313254304963$architect::577.9600000114041$greenhouse::97.64499999960653$health related activity::896.6396334071525$
472,856&&69%_%_::507$857&&60%_%_::501$858&&103%_%_::195$859&&50%_%_::589$860&&32%_%_::1087$861&&10%_%_::881$862&&80%_%_::341$,home::371762.63980361266$Annexe::42896.58000002007$office::44784.769999539785$farm::171717.28000026205$other_activity::987.9349999962817$greenhouse::19144.135000026952$shop::5910.534999979808$social_facility::2242.7800000014995$parking::18784.695247597778$leisure and sport::6019.190166996658$service::38.50500000797212$roof::285.9399999877694$restaurant::343.3450000043272$
484,863&&32%_%_::54$864&&69%_%_::47$,home::18715.86173533216$office::886.2750000292494$Annexe::3173.249999989139$other_activity::422.9149999921699$parking::1257.3087900198423$farm::32.22500000020954$
519,865&&69%_%_::425$866&&60%_%_::357$867&&32%_%_::910$868&&10%_%_::657$869&&50%_%_::422$870&&80%_%_::261$871&&103%_%_::131$,home::295448.2723817825$office::23082.245000264644$Annexe::49597.52000003473$parking::22284.87654141235$drinking_water::202.01000000083354$toilets::6847.422673614945$fire_station::5089.877673610857$leisure and sport::34876.000714131966$restaurant::401.12499998739224$farm::258.7000000025728$health related activity::56.385000000984874$other_activity::3704.548080969159$shop::150.099999999383$school::481.7700000002236$bicycle_parking::1362.2202221359942$roof::417.65000000901057$
535,872&&32%_%_::464$873&&50%_%_::182$874&&69%_%_::189$875&&60%_%_::162$876&&80%_%_::122$877&&10%_%_::355$878&&103%_%_::63$,home::135052.4093651313$Annexe::19171.494999980656$office::37571.6500004299$other_activity::609.5700000055263$school::2664.114229758774$farm::9527.934999972334$crematorium::297.91465220051276$restaurant::1492.9649999967219$parking::2924.065808822122$leisure and sport::1871.667902012309$
542,879&&60%_%_::61$880&&50%_%_::97$881&&32%_%_::237$882&&69%_%_::137$883&&10%_%_::171$884&&80%_%_::69$885&&103%_%_::35$,home::65222.044118446895$office::4593.479999972604$Annexe::9199.409999995205$farm_auxiliary::595.4699999946299$other_activity::1741.946461052808$farm::52.17499999959837$parking::1235.3660039768652$shop::81.69000000053435$leisure and sport::474.190546369377$school::370.1149999925366$
569,886&&69%_%_::420$887&&60%_%_::392$888&&50%_%_::472$889&&32%_%_::959$890&&10%_%_::670$891&&80%_%_::265$892&&103%_%_::145$,home::218491.91709601568$Annexe::34732.650000025234$office::48050.965000263$other_activity::1091.9599999966251$farm::2799.2599999717877$leisure and sport::4086.9366895616886$parking::7762.881740380987$kindergarten::308.9799999981583$social_facility::513.4149999952374$shop::744.750000004773$crematorium::1532.1646522017584$restaurant::136.00999999642139$roof::433.85499999690103$school::1614.0999999945748$shelter::30.8899999995681$health related activity::134.5650000005984$
583,893&&60%_%_::159$894&&69%_%_::212$895&&10%_%_::311$896&&80%_%_::135$897&&50%_%_::193$898&&32%_%_::411$899&&103%_%_::72$,home::96657.06695414714$Annexe::23804.825000007047$office::11854.355000169078$restaurant::706.3700000087218$leisure and sport::1881.0716462201362$fountain::785.7826915297701$parking::1927.120047868427$other_activity::706.5150000065123$farm::92.30500000562053$
590,900&&69%_%_::44$901&&32%_%_::38$,home::16012.902921096354$Annexe::1632.0850000034761$office::692.9000000506406$other_activity::578.2132910317804$drinking_water::48.95000000464497$
591,902&&32%_%_::214$903&&10%_%_::155$904&&69%_%_::85$905&&80%_%_::69$906&&50%_%_::87$907&&60%_%_::77$908&&103%_%_::40$,home::51401.73863168931$office::5005.844999946888$Annexe::10957.150000033516$farm::331.46499999357854$leisure and sport::1355.5726942258716$other_activity::688.8962839633206$parking::2861.217461148094$school::225.31499999903843$
594,909&&10%_%_::88$910&&80%_%_::55$911&&60%_%_::44$912&&32%_%_::141$913&&50%_%_::47$914&&69%_%_::42$,home::69791.96635111587$Annexe::11884.814999989598$farm::2261.355000009928$office::7011.875000058625$other_activity::400.33500000422123$school::130.6800000010629$community_centre::143.89499999644002$parking::143.89499999644002$recycling::2163.4520478364097$shop::125.03500000515837$leisure and sport::688.1748004548845$
613,915&&69%_%_::35$916&&32%_%_::56$,home::12465.872336254539$Annexe::2085.6000000101576$office::416.9799999414699$other_activity::596.7640131725401$parking::503.3954293950852$
615,917&&32%_%_::47$,home::12475.578676375797$Annexe::1288.6100000124634$other_activity::681.6954589421647$office::148.6099999858567$
621,918&&69%_%_::26$919&&32%_%_::45$920&&50%_%_::35$921&&80%_%_::26$,home::15611.409085156958$office::2090.7850000037847$Annexe::2033.1849999818753$farm::89.46500000384054$parking::882.9439933548523$other_activity::217.1099999996519$
643,922&&69%_%_::34$923&&32%_%_::35$,home::7227.240674811214$other_activity::276.3749999986787$office::916.49999992628$farm::497.729999997908$Annexe::444.93499999646207$parking::630.4657207703135$
663,924&&32%_%_::436$925&&10%_%_::349$926&&60%_%_::157$927&&69%_%_::189$928&&50%_%_::200$929&&103%_%_::65$930&&80%_%_::124$,home::173776.45060225716$office::8732.805000010607$restaurant::361.6582781203256$Annexe::24717.430000005912$other_activity::1023.6475725437605$farm::34483.580000041744$leisure and sport::8632.854411967874$parking::9690.927931494203$service::439.7547985726452$greenhouse::11636.469999983798$shop::1747.409999986398$fire_station::380.27000000210944$shed::21.81999999854714$school::474.5350000095763$motocross::72702.52471899346$model_aerodrome::1068.3514330887363$events_venue::242.54500000483358$post_box::107.82499999761349$waste_basket::324.78549976040864$sport::537.2474150130399$
698,931&&69%_%_::35$932&&80%_%_::34$933&&32%_%_::71$934&&50%_%_::34$935&&60%_%_::26$936&&10%_%_::47$,home::44520.40707151279$Annexe::7809.9299999756095$other_activity::10142.843034385038$collapsed::1439.3599756782155$farm::326.3699999962654$bunker::6100.685000039507$office::3060.0999999872874$shop::266.8200000048801$parking::1178.5486806089893$leisure and sport::1704.8497524062923$restaurant::681.9549999913713$service::61.36499999846799$
705,937&&32%_%_::58$938&&60%_%_::48$,home::15188.741500018414$Annexe::1541.7949999988439$office::1933.0550000655865$other_activity::516.6269998799553$farm::924.6293232573994$
