reporting country,secondary country,time,value
AFG,SLV,2014,249
AFG,SLV,2015,49
AFG,SLV,2016,6
AFG,SMR,2011,0
AFG,SMR,2012,0
AFG,SMR,2013,0
AFG,SMR,2014,0
AFG,SMR,2015,0
AFG,SMR,2016,0
AFG,SOM,2011,0
AFG,SOM,2012,1
AFG,SOM,2013,11
AFG,SOM,2014,36
AFG,SOM,2015,393
AFG,SOM,2016,345
AFG,STP,2011,0
AFG,STP,2012,0
AFG,STP,2013,0
AFG,STP,2014,0
AFG,STP,2015,0
AFG,STP,2016,0
AFG,SUR,2011,1
AFG,SUR,2012,2
AFG,SUR,2013,1
AFG,SUR,2014,0
AFG,SUR,2015,0
AFG,SUR,2016,0
AFG,SVK,2011,2
AFG,SVK,2012,0
AFG,SVK,2013,4
AFG,SVK,2014,64
AFG,SVK,2015,306
AFG,SVK,2016,214
AFG,SVN,2011,64
AFG,SVN,2012,62
AFG,SVN,2013,29
AFG,SVN,2014,33
AFG,SVN,2015,44
AFG,SVN,2016,52
AFG,SWE,2011,1139
AFG,SWE,2012,2655
AFG,SWE,2013,3523
AFG,SWE,2014,4041
AFG,SWE,2015,4522
AFG,SWE,2016,4320
AFG,SWZ,2011,0
AFG,SWZ,2012,0
AFG,SWZ,2013,2
AFG,SWZ,2014,0
AFG,SWZ,2015,0
AFG,SWZ,2016,0
AFG,SYC,2011,15
AFG,SYC,2012,16
AFG,SYC,2013,25
AFG,SYC,2014,16
AFG,SYC,2015,12
AFG,SYC,2016,47
AFG,SYR,2011,3502
AFG,SYR,2012,1201
AFG,SYR,2013,26
AFG,SYR,2014,0
AFG,SYR,2015,0
AFG,SYR,2016,0
AFG,TCA,2011,1
AFG,TCA,2012,1
AFG,TCA,2013,1
AFG,TCA,2014,1
AFG,TCA,2015,0
AFG,TCA,2016,0
AFG,TCD,2011,5
AFG,TCD,2012,2
AFG,TCD,2013,2
AFG,TCD,2014,2
AFG,TCD,2015,5
AFG,TCD,2016,1
AFG,TGO,2011,0
AFG,TGO,2012,2
AFG,TGO,2013,2
AFG,TGO,2014,0
AFG,TGO,2015,1
AFG,TGO,2016,2
AFG,THA,2011,1738
AFG,THA,2012,1806
AFG,THA,2013,2335
AFG,THA,2014,2731
AFG,THA,2015,2862
AFG,THA,2016,2126
AFG,TJK,2011,27575
AFG,TJK,2012,38537
AFG,TJK,2013,31074
AFG,TJK,2014,15367
AFG,TJK,2015,13496
AFG,TJK,2016,22519
AFG,TKM,2011,241
AFG,TKM,2012,102
AFG,TKM,2013,89
AFG,TKM,2014,104
AFG,TKM,2015,173
AFG,TKM,2016,65
AFG,TLS,2011,0
AFG,TLS,2012,0
AFG,TLS,2013,0
AFG,TLS,2014,0
AFG,TLS,2015,0
AFG,TLS,2016,0
AFG,TON,2011,0
AFG,TON,2012,0
AFG,TON,2013,0
AFG,TON,2014,0
AFG,TON,2015,0
AFG,TON,2016,0
AFG,TTO,2011,0
AFG,TTO,2012,2
AFG,TTO,2013,1
AFG,TTO,2014,5
AFG,TTO,2015,7
AFG,TTO,2016,3
AFG,TUN,2011,35
AFG,TUN,2012,19
AFG,TUN,2013,32
